GEO_ID,NAME,S2301_C01_001E
26005,"Allegan County, Michigan",95158
26017,"Bay County, Michigan",86297
26021,"Berrien County, Michigan",124028
26025,"Calhoun County, Michigan",107126
26037,"Clinton County, Michigan",64308
26045,"Eaton County, Michigan",88516
26049,"Genesee County, Michigan",324886
26055,"Grand Traverse County, Michigan",78603
26065,"Ingham County, Michigan",234153
26067,"Ionia County, Michigan",53577
26075,"Jackson County, Michigan",129947
26077,"Kalamazoo County, Michigan",210748
26081,"Kent County, Michigan",518821
26087,"Lapeer County, Michigan",73278
26091,"Lenawee County, Michigan",80884
26093,"Livingston County, Michigan",159901
26099,"Macomb County, Michigan",719101
26103,"Marquette County, Michigan",55887
26111,"Midland County, Michigan",68067
26115,"Monroe County, Michigan",126068
26117,"Montcalm County, Michigan",53967
26121,"Muskegon County, Michigan",140578
26125,"Oakland County, Michigan",1043160
26139,"Ottawa County, Michigan",238474
26145,"Saginaw County, Michigan",153337
26147,"St. Clair County, Michigan",131394
26155,"Shiawassee County, Michigan",55486
26159,"Van Buren County, Michigan",60278
26161,"Washtenaw County, Michigan",310111
26163,"Wayne County, Michigan",1402749
